Fire Date,Fire Time,Source,Latitude,Longitude,State,District,Circle,Division,Range,Block/Section/Round,Beat,Forest Block,Compartment No,
"2021-12-17","13:42:19","SNPP","11° 40' 15""N","75° 55' 33""E","KERALA","WAYNAD","NORTHERN CIRCLE","WAYANAD SOUTH DIVISION","KALPETTA RANGE",,,,,
"2021-12-27","13:54:22","SNPP","10° 02' 49""N","77° 02' 17""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","MUNNAR DIVISION","DEVIKULAM RANGE",,,,,
"2021-12-30","01:48:19","SNPP","10° 01' 50""N","77° 11' 21""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","MUNNAR DIVISION","DEVIKULAM RANGE",,,,,
"2021-12-30","01:48:19","SNPP","10° 02' 02""N","77° 11' 23""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","MUNNAR DIVISION","DEVIKULAM RANGE",,,,,
"2021-12-30","01:48:19","SNPP","10° 02' 06""N","77° 10' 58""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","MUNNAR DIVISION","DEVIKULAM RANGE",,,,,
"2022-01-02","13:41:50","SNPP","09° 55' 16""N","76° 55' 18""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTTAYAM DIVISION","NAGARAMPARA RANGE",,,,,
"2022-01-02","13:41:50","SNPP","09° 55' 26""N","76° 55' 03""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTTAYAM DIVISION","NAGARAMPARA RANGE",,,,,
"2022-01-02","13:41:50","SNPP","09° 55' 31""N","76° 55' 41""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTHAMANGALAM DIVISION","THODUPUZHA RANGE",,,,,
"2022-01-02","13:41:50","SNPP","09° 55' 37""N","76° 55' 01""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTHAMANGALAM DIVISION","THODUPUZHA RANGE",,,,,
"2022-01-02","13:41:50","SNPP","09° 55' 37""N","76° 55' 01""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTTAYAM DIVISION","NAGARAMPARA RANGE",,,,,
"2022-01-02","13:41:50","SNPP","09° 55' 43""N","76° 55' 40""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTHAMANGALAM DIVISION","THODUPUZHA RANGE",,,,,
"2022-01-03","13:22:54","SNPP","09° 48' 49""N","76° 58' 15""E","KERALA","IDUKKI","FDPT KOTTAYAM CIRCLE","IDUKKI WILDLIFE DIVISION","IDUKKI WILDLIFE SANCTUARY",,,,,
"2022-01-03","13:22:54","SNPP","09° 48' 51""N","76° 58' 27""E","KERALA","IDUKKI","FDPT KOTTAYAM CIRCLE","IDUKKI WILDLIFE DIVISION","IDUKKI WILDLIFE SANCTUARY",,,,,
"2022-01-04","01:53:59","SNPP","09° 49' 01""N","76° 57' 45""E","KERALA","IDUKKI","FDPT KOTTAYAM CIRCLE","IDUKKI WILDLIFE DIVISION","IDUKKI WILDLIFE SANCTUARY",,,,,
"2022-01-04","01:53:59","SNPP","11° 41' 23""N","75° 56' 31""E","KERALA","WAYNAD","NORTHERN CIRCLE","WAYANAD SOUTH DIVISION","KALPETTA RANGE",,,,,
"2022-01-04","13:04:42","SNPP","09° 50' 12""N","76° 55' 04""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTHAMANGALAM DIVISION","THODUPUZHA RANGE",,,,,
"2022-01-06","01:16:51","SNPP","09° 30' 32""N","77° 06' 33""E","KERALA","IDUKKI","FDPT KOTTAYAM CIRCLE","PERIYAR TIGER RESERVE WEST DIVISION","AZHUTHA RANGE",,,,,
"2022-01-06","14:06:26","SNPP","09° 45' 52""N","76° 57' 56""E","KERALA","IDUKKI","FDPT KOTTAYAM CIRCLE","IDUKKI WILDLIFE DIVISION","IDUKKI WILDLIFE SANCTUARY",,,,,
"2022-01-06","14:06:26","SNPP","09° 47' 39""N","77° 03' 28""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTTAYAM DIVISION","AYYAPPANKOVIL RANGE",,,,,
"2022-01-06","14:06:26","SNPP","09° 48' 04""N","77° 02' 37""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTTAYAM DIVISION","AYYAPPANKOVIL RANGE",,,,,
"2022-01-06","14:06:26","SNPP","09° 48' 06""N","77° 02' 52""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTTAYAM DIVISION","AYYAPPANKOVIL RANGE",,,,,
"2022-01-07","13:48:13","SNPP","08° 36' 27""N","77° 14' 03""E","KERALA","THIRUVANANTHAPURAM","AGASTYAVANAM BIOLGICAL PARK WILDLIFE CIRCLE","TRIVANDRUM WILDLIFE DIVISION","NEYYAR RANGE",,,,,
"2022-01-07","13:48:13","SNPP","09° 44' 57""N","76° 54' 43""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTTAYAM DIVISION","NAGARAMPARA RANGE",,,,,
"2022-01-07","13:48:13","SNPP","09° 46' 24""N","77° 04' 37""E","KERALA","IDUKKI","HIGH RANGE CIRCLE","KOTTAYAM DIVISION","AYYAPPANKOVIL RANGE",,,,,
"2022-01-10","14:32:27","SNPP","09° 11' 14""N","76° 56' 25""E","KERALA","PATHANAMTHITTA","SOUTHERN CIRCLE","KONNI DIVISION","NADUVATHUMUZHI RANGE",,,,,
"2022-01-10","14:32:27","SNPP","09° 45' 51""N","76° 58' 58""E","KERALA","IDUKKI","FDPT KOTTAYAM CIRCLE","IDUKKI WILDLIFE DIVISION","IDUKKI WILDLIFE SANCTUARY",,,,,
"2022-01-10","14:32:27","SNPP","09° 46' 11""N","76° 58' 57""E","KERALA","IDUKKI","FDPT KOTTAYAM CIRCLE","IDUKKI WILDLIFE DIVISION","IDUKKI WILDLIFE SANCTUARY",,,,,
"2022-01-10","14:32:27","SNPP","09° 46' 14""N","76° 58' 49""E","KERALA","IDUKKI","FDPT KOTTAYAM CIRCLE","IDUKKI WILDLIFE DIVISION","IDUKKI WILDLIFE SANCTUARY",,,,,
"2022-01-11","14:12:49","SNPP","09° 45' 20""N","76° 58' 22""E","KERALA","IDUKKI","FDPT KOTTAYAM CIRCLE","IDUKKI WILDLIFE DIVISION","IDUKKI WILDLIFE SANCTUARY",,,,,
